model,split,rmse,mae,r2
KNN,TEST,0.4089454861743668,0.16366870233766231,0.1825515890099585
RF,TEST,0.3896502457998343,0.14669220485000004,0.2578709616822683
RIDGE,TEST,0.4371479045328399,0.17825004080797874,0.06591517216686493
KNN,VAL,0.15668689762846758,0.07978096005291004,-0.7257120404559578
RF,VAL,0.14159924530468945,0.06906476356944458,-0.4093694169672173
RIDGE,VAL,0.12000245035217807,0.09098922826248051,-0.012239298362148432
