method,split,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
Best classical baseline (RF),TEST,0.3896502457998343,,0.14669220485000004,,0.2578709616822683,
BH-feature baseline,TEST,0.37791771873677543,0.002196117610198003,0.1253773912539508,0.002759450910260791,0.0937130478114056,0.013340758548374458
GNN (real graph),VAL,0.1546701192855835,0.004744128132359363,0.09230821393430233,0.004381432634900839,-0.27766748840997885,0.04044074010973846
GNN (real graph),TEST,0.41565707325935364,0.0033747176830219664,0.1594764068722725,0.005073562061080934,-0.09632082569483125,0.017591934241227545
GNN (shuffled graph),VAL,0.1673777811229229,0.021759239261399728,0.10116116888821125,0.0177743098328416,-0.5074934687001835,0.3512593064619777
GNN (shuffled graph),TEST,0.42004356533288956,0.014554580174003426,0.15002226829528809,0.009805125582368898,-0.12083727995225851,0.08476860331098465
