model,split,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
BH-features,val,0.0998515264262488,0.002993415978824626,0.050316984533383576,0.0025260302012777226,0.4660818607257424,0.042967010785232504
BH-features,test,0.37791771873677543,0.0019018936401298417,0.1253773912539508,0.002389754588781938,0.0937130478114056,0.011553435808646692
GNN_real,val,0.15998400375247002,0.0038580258594419913,0.09264651872217655,0.006754672880081612,-0.36794941005038867,0.06419550285310993
GNN_real,test,0.4203326925635338,0.006814390052745027,0.13822544366121292,0.011517861512933282,-0.1212822164631947,0.03608631454034119
GNN_shuffled,val,0.1673777811229229,0.021759239261399728,0.10116116888821125,0.0177743098328416,-0.5074934687001835,0.3512593064619777
GNN_shuffled,test,0.42004356533288956,0.014554580174003426,0.15002226829528809,0.009805125582368898,-0.12083727995225851,0.08476860331098465
